word,type,cefr,definition,example,Synonyms,Antonyms,Rhymes,Related
impress,verb,b2,"if a person or thing impresses you, you admire them or it","impress (somebody), We interviewed a number of candidates but none of them impressed us.","instill, affect, impressment, move, strike",,"process, address, access, assess, press","telefilm, judges, fails, crush, girlfriend"
impressed,adjective,b2,"admiring somebody/something because you think they are particularly good, interesting, etc.",I must admit I am impressed.,"affected, impressive, convinced, sensitive, touched",,"test, manifest, best, rest, request","whorl, periphery, aperture, audition, abilities"
impression,noun,b1,"an idea, a feeling or an opinion that you get about somebody/something, or that somebody/something gives you",My first impression of him was favourable.,"imprint, picture, printing, effect, notion",,"discretion, question, concession, depression, expression","quito, impressions, isbn, genre, editorial"
impressive,adjective,b1,"making you admire them, because they are very large, good, skilful, etc.",an impressive performance,"telling, effective, efficacious, effectual, glorious",unimpressive,"aggressive, progressive, excessive, oppressive, successive","feat, displays, victories, array, serie"
improve,verb,a1,to become better than before; to make something/somebody better than before,Overall the situation has improved dramatically.,"amend, ameliorate, meliorate, better, improvement","exacerbate, decline, aggravate, exasperate, worsen","move, groove, prove, disprove, approve","tutoring, efficiency, reliability, outcomes, productivity"
improvement,noun,b1,the act of making something better; the process of something becoming better,The economy has shown significant improvement over the past 9 months.,"betterment, advance, bettering, improving, improved",decline,"movement, self-improvement, bowel movement, artistic movement, religious movement","cleaning, drainage, achievement, improvements, chronic"
in,adverb,a1,"into an object, an area or a substance",She opened the door and went in.,"cbs, nsis, nih, nsi, establishment",out,"begin, pin, spin, skin, win",
in,preposition,a1,at a point within an area or a space,a country in Africa,"cbs, nsis, nih, nsi, establishment",out,"begin, pin, spin, skin, win",
inch,noun,b2,"a unit for measuring length or height, equal to 2.54 centimetres. There are 12 inches in a foot.",She's a few inches taller than me.,"column inch, edge, in, millimetre, centimetre",,"pinch, cinch, flinch, hinch, clinch","nails, pounder, cwt, howitzer, calibre"
incident,noun,b2,"something that happens, especially something unusual or unpleasant",His bad behaviour was just an isolated incident.,"secondary, incidental, peripheral, parenthetic, parenthetical",basic,coincident,"occurred, sparked, involving, incidents, happened"
include,verb,a1,"if one thing includes another, it has the second thing as one of its parts","include something, The tour included a visit to the Science Museum.","let in, admit, incorporate, inclusion, involve","except, shut, omit, exclude, take out","food, attitude, preclude, gratitude, allude",
included,adjective,a2,contained as part of something,all of Europe (Britain included),"enclosed, absorbed, accepted, accommodated, accompanied",,"alluded, eluded, secluded, deluded, denuded","statistical, bonus, compilation"
including,preposition,a2,having something as part of a group or set,I've got three days' holiday including New Year's Day.,,,"brooding, alluding, protruding, excluding, eluding","those, age, under"
income,noun,b2,"the money that a person, a region, a country, etc. earns from work, from investing money, from business, etc.",Average household income fell slightly.,"wages, earnings, taxable, salary, revenue","expenditure, outlay, outgo","become, come, from, overcome, gum","capita, versus, median, poverty, rebate"
increase,noun,a2,"a rise in the amount, number or value of something",price/tax/wage increases,"growth, increment, step-up, gain, addition","fall, diminish, decrease, reduction, diminution","piece, peace, release, nice, niece","decrease, productivity, funding, efficiency, revenues"
increase,verb,a2,"to become greater in amount, number, value, etc.; to make something greater in amount, number, value, etc.",Costs have increased significantly.,"growth, increment, step-up, gain, addition","fall, diminish, decrease, reduction, diminution","piece, peace, release, nice, niece","decrease, productivity, funding, efficiency, revenues"
increasingly,adverb,b2,more and more all the time,Tourism is playing an increasingly important role in the region's economy,"more and more, progressively, increasing, mounting, growing",,,"erratic, frustrated, unpopular, sophisticated, desperate"
incredible,adjective,a2,impossible or very difficult to believe,an incredible story,"unbelievable, improbable, undreamed, unimagined, undreamt","credible, believable","edible, credible, inedible, dreadable, beddable","hulk, shrinking, bongo, feats, hercules"
incredibly,adverb,b1,extremely,It was all incredibly difficult.,"unbelievably, improbably, implausibly, incredible, unbelievable","probably, credibly, believably, plausibly",credibly,"stupid, catchy, talented, boring, excited"
indeed,adverb,b1,"used after very and an adjective or adverb to emphasize a statement, description, etc.",Thank you very much indeed!,"so, actually, very, truth, truthfully",,"read, lead, breed, feed, bleed",
independent,adjective,a2,having its own government,an independent state/nation/country,"free-living, individual, self-sufficient, self-directed, self-sustaining","dependent, subordinate, indulgence, pleasing, indulging","dependent, attendant, transcendent, descendant, resplendent","label, labels, variables, candidate, croatia"
indicate,verb,b1,to show that something is true or exists,"indicate something, Initial tests indicate the presence of oxygen.","betoken, bespeak, point, show, suggest",contraindicate,"state, rate, date, plate, advocate","italics, eligibility, vowel, indicates, verb"
indirect,adjective,b1,"happening not as the main aim, cause or result of a particular action, but in addition to it",the indirect effects of the war,"secondary, circumlocutory, allusive, periphrastic, hearsay","direct, lineal","effect, affect, respect, project, subject","taxation, injection, infringement, direct, verb"
individual,adjective,a2,considered separately rather than as part of a group,We interviewed each individual member of the community.,"single, independent, someone, separate, private",common,,"medley, parentheses, foil, archery, freestyle"
individual,noun,a2,a person considered separately rather than as part of a group,The competition is open to both teams and individuals.,"single, independent, someone, separate, private",common,,"medley, parentheses, foil, archery, freestyle"
indoor,adjective,b1,"located, done or used inside a building",an indoor swimming pool,"inside, interior, in-house, home, room",,"for, war, door, store, score","outdoor, carpet, pentathlon, plumbing, arenas"
indoors,adverb,b1,inside or into a building,I prefer to stay indoors in this really hot weather.,"inside, within, interior, internally, inland","outside, alfresco, outdoors, out of doors","corps, chores, drawers, outdoors, yours","outdoors, potted, indoor, atp, hurdles"
industrial,adjective,b2,connected with industry,an industrial dispute,"industrialized, developed, blue-collar, heavy-duty, highly-developed",nonindustrial,agroindustrial,"revolution, textile, enterprises, chemicals, machinery"
industry,noun,a2,"the production of goods from raw materials, especially in factories",the needs of British industry,"diligence, industriousness, manufacture, manufacturing, activity",,"industrie, industry e","aria, industries, tourism, commerce, manufacturing"
infection,noun,b2,the act or process of causing or getting a disease,to cause/prevent infection,"contagion, transmission, communicable, infective, epidemic",,"collection, section, inflection, reflection, projection","herpes, abscess, streptococcus, asymptomatic, sepsis"
influence,noun,b1,the effect that somebody/something has on the way a person thinks or behaves or on the way that something works or develops,His early work shows the influence of Cézanne and Matisse.,"act upon, shape, regulate, determine, charm",,,"evident, alcohol, decisions, influences"
influence,verb,b1,"to have an effect on the way that somebody behaves or thinks, especially by giving them an example to follow","influence somebody/something, His writings have influenced the lives of millions.","act upon, shape, regulate, determine, charm",,,"evident, alcohol, decisions, influences"
inform,verb,b2,"to tell somebody about something, especially in an official way","inform somebody, The government took this decision without consulting Parliament or informing the public.","ratting, making known, learn, instruct, educate",,"form, storm, platform, conform, transform","tica, entertain, educate, inspire, decisions"
informal,adjective,a2,relaxed and friendly; not following strict rules of how to behave or do something,an informal atmosphere,"unofficial, unliterary, nonliterary, unceremonial, unceremonious",formal,"formal, normal, abnormal, paranormal, mormal","fallacy, clade, formal, grouping, plural"
information,noun,a1,facts or details about somebody/something,a piece of information,"info, data, entropy, selective information, identification",,"communication, operation, education, implication, station","retrieval, privacy, technology, database, processing"
